Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
ThredUp Inc.,0.00%,Apparel Retailers,US,"$29,369.78 ","8,211",TDUP
Tilly's Inc.,0.00%,Apparel Retailers,US,"$25,577.01 ","2,514",TLYS
Urban Outfitters Inc.,0.00%,Apparel Retailers,US,"$233,179.05 ","6,360",URBN
Zumiez Inc.,0.00%,Apparel Retailers,US,"$37,062.29 ","1,564",ZUMZ
BlackRock Inc.,0.22%,Asset Managers and Custodians,US,"$13,019,732.78 ","14,317",BLK
Blackstone Inc.,0.15%,Asset Managers and Custodians,US,"$9,103,745.39 ","75,220",BX
KKR & Co. Inc.,0.08%,Asset Managers and Custodians,US,"$4,924,279.97 ","68,486",KKR
Apollo Global Management Inc.,0.06%,Asset Managers and Custodians,US,"$3,650,117.42 ","42,501",APO
State Street Corp.,0.06%,Asset Managers and Custodians,US,"$3,391,220.14 ","34,639",STT
T Rowe Price Group Inc.,0.06%,Asset Managers and Custodians,US,"$3,619,832.38 ","23,785",TROW
Northern Trust Corp.,0.04%,Asset Managers and Custodians,US,"$2,226,705.44 ","21,027",NTRS
Ares Management Corp.,0.03%,Asset Managers and Custodians,US,"$1,961,257.13 ","16,527",ARES
Carlyle Group Inc.,0.02%,Asset Managers and Custodians,US,"$1,108,159.24 ","26,967",CG
Franklin Resources Inc.,0.02%,Asset Managers and Custodians,US,"$1,156,100.71 ","31,745",BEN
Invesco Ltd.,0.02%,Asset Managers and Custodians,BM,"$1,117,637.68 ","48,156",IVZ
SEI Investments Co.,0.02%,Asset Managers and Custodians,US,"$1,021,195.74 ","12,795",SEIC
Voya Financial Inc.,0.02%,Asset Managers and Custodians,US,"$1,063,690.28 ","10,265",VOYA
Affiliated Managers Group Inc.,0.01%,Asset Managers and Custodians,US,"$744,846.53 ","3,808",AMG
Artisan Partners Asset Management Inc.,0.01%,Asset Managers and Custodians,US,"$320,017.14 ","6,813",APAM
Evercore Inc.,0.01%,Asset Managers and Custodians,US,"$506,599.71 ","3,278",EVR
