Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
Cepton Inc.,0.00%,Electronic Equipment: Gauges and Meters,US,"$2,933.54 ","5,805",CPTN
Mesa Laboratories Inc.,0.00%,Electronic Equipment: Gauges and Meters,US,"$122,355.29 ",542,MLAB
Emerson Electric Co.,0.12%,Electronic Equipment: Other,US,"$6,832,372.46 ","60,568",EMR
Atkore Inc.,0.01%,Electronic Equipment: Other,US,"$716,926.90 ","4,189",ATKR
Allied Motion Technologies Inc.,0.00%,Electronic Equipment: Other,US,"$61,699.18 ","1,323",AMOT
CECO Environmental Corp.,0.00%,Electronic Equipment: Pollution Control,US,"$45,196.98 ","2,873",CECO
Fuel Tech Inc.,0.00%,Electronic Equipment: Pollution Control,US,"$2,411.48 ","1,447",FTEK
Xerox Holdings Corp.,0.00%,Electronic Office Equipment,US,"$243,485.21 ","11,469",XRX
Quanta Services Inc.,0.06%,Engineering and Contracting Services,US,"$3,508,679.47 ","15,266",PWR
Tetra Tech Inc.,0.02%,Engineering and Contracting Services,US,"$1,055,021.51 ","5,628",TTEK
Dycom Industries Inc.,0.01%,Engineering and Contracting Services,US,"$372,907.46 ","2,972",DY
Argan Inc.,0.00%,Engineering and Contracting Services,US,"$79,491.25 ","1,458",AGX
Bowman Consulting Group Ltd.,0.00%,Engineering and Contracting Services,US,"$38,673.31 ",958,BWMN
ENGlobal Corp.,0.00%,Engineering and Contracting Services,US,$612.03 ,"1,291",ENG
Lightbridge Corp.,0.00%,Engineering and Contracting Services,US,"$5,850.75 ","1,177",LTBR
Mistras Group Inc.,0.00%,Engineering and Contracting Services,US,"$29,201.98 ","2,654",MG
MYR Group Inc.,0.00%,Engineering and Contracting Services,US,"$291,941.38 ","1,684",MYRG
Orbital Infrastructure Group Inc.,0.00%,Engineering and Contracting Services,US,$528.95 ,204,OIG
Willdan Group Inc.,0.00%,Engineering and Contracting Services,US,"$27,055.24 ","1,363",WLDN
Williams Industrial Services Group Inc.,0.00%,Engineering and Contracting Services,US,"$1,593.88 ","1,248",WLMS
Netflix Inc.,0.36%,Entertainment,US,"$21,081,152.30 ","47,161",NFLX
Warner Bros Discovery Inc.,0.07%,Entertainment,US,"$4,274,085.67 ","231,790",WBD
World Wrestling Entertainment Inc.,0.01%,Entertainment,US,"$669,362.34 ","4,610",WWE
AMC Networks Inc.,0.00%,Entertainment,US,"$75,051.88 ","3,131",AMCX
Cinedigm Corp.,0.00%,Entertainment,US,"$8,689.63 ","16,387",CIDM
Cinemark Holdings Inc.,0.00%,Entertainment,US,"$264,671.07 ","11,573",CNK
Genius Brands International Inc.,0.00%,Entertainment,US,"$11,199.07 ","3,204",GNUS
Marcus Corp.,0.00%,Entertainment,US,"$59,425.79 ","2,504",MCS
Reservoir Media Inc.,0.00%,Entertainment,US,"$15,004.04 ","1,668",RSVR
Corteva Inc.,0.11%,"Farming, Fishing, Ranching and Plantatio",US,"$6,258,586.85 ","75,579",CTVA
AppHarvest Inc.,0.00%,"Farming, Fishing, Ranching and Plantatio",US,"$8,261.15 ","13,138",APPH
AquaBounty Technologies Inc.,0.00%,"Farming, Fishing, Ranching and Plantatio",US,"$4,977.55 ","6,778",AQB
Calavo Growers Inc.,0.00%,"Farming, Fishing, Ranching and Plantatio",US,"$75,701.10 ","1,748",CVGW
GrowGeneration Corp.,0.00%,"Farming, Fishing, Ranching and Plantatio",US,"$27,690.94 ","5,976",GRWG
Limoneira Co.,0.00%,"Farming, Fishing, Ranching and Plantatio",US,"$45,270.27 ","2,000",LMNR
Mosaic Co.,0.04%,Fertilizers,US,"$2,067,593.65 ","35,614",MOS
Intrepid Potash Inc.,0.00%,Fertilizers,US,"$35,170.69 ","1,007",IPI
S&P Global Inc.,0.28%,Financial Data Providers,US,"$16,754,409.86 ","34,106",SPGI
Moody's Corp.,0.12%,Financial Data Providers,US,"$6,997,710.76 ","16,495",MCO
MSCI Inc.,0.09%,Financial Data Providers,US,"$5,257,980.28 ","8,044",MSCI
Morningstar Inc.,0.01%,Financial Data Providers,US,"$653,587.95 ","2,705",MORN
Clearwater Analytics Holdings Inc.,0.00%,Financial Data Providers,US,"$168,267.28 ","8,059",CWAN
Open Lending Corp.,0.00%,Financial Data Providers,US,"$110,313.50 ","11,582",LPRO
Mondelez International Inc.,0.25%,Food Products,US,"$15,007,236.26 ","144,378",MDLZ
Hershey Co.,0.10%,Food Products,US,"$5,753,963.13 ","15,553",HSY
J M Smucker Co.,0.04%,Food Products,US,"$2,241,129.07 ","10,713",SJM
Kellogg Co.,0.04%,Food Products,US,"$2,563,339.03 ","27,117",K
Tyson Foods Inc.,0.04%,Food Products,US,"$2,557,721.44 ","30,210",TSN
Campbell Soup Co.,0.03%,Food Products,US,"$1,516,500.78 ","20,613",CPB
Hormel Foods Corp.,0.03%,Food Products,US,"$1,586,527.54 ","28,956",HRL
BellRing Brands Inc.,0.01%,Food Products,US,"$694,342.79 ","14,240",BRBR
Freshpet Inc.,0.01%,Food Products,US,"$451,319.74 ","4,830",FRPT
Post Holdings Inc.,0.01%,Food Products,US,"$683,980.37 ","5,579",POST
Better Choice Co. Inc.,0.00%,Food Products,US,$785.07 ,"1,410",BTTR
Beyond Meat Inc.,0.00%,Food Products,US,"$111,318.52 ","6,068",BYND
Herbalife Ltd.,0.00%,Food Products,KY,"$207,467.04 ","10,305",HLF
Lifeway Foods Inc.,0.00%,Food Products,US,"$4,787.21 ",589,LWAY
Local Bounti Corp.,0.00%,Food Products,US,"$2,736.93 ","3,776",LOCL
MamaMancini's Holdings Inc.,0.00%,Food Products,US,"$5,271.36 ","1,907",MMMB
Mannatech Inc.,0.00%,Food Products,US,"$1,748.08 ",105,MTEX
Mission Produce Inc.,0.00%,Food Products,US,"$71,009.85 ","4,602",AVO
Natural Alternatives International Inc.,0.00%,Food Products,US,"$6,686.83 ",554,NAII
ProPhase Labs Inc.,0.00%,Food Products,US,"$14,131.96 ","1,391",PRPH
Real Good Food Co. Inc.,0.00%,Food Products,US,"$3,189.36 ",599,RGF
Seneca Foods Corp.,0.00%,Food Products,US,"$35,658.95 ",553,SENEA
Sovos Brands Inc.,0.00%,Food Products,US,"$85,813.06 ","3,693",SOVO
Sysco Corp.,0.09%,Food Retailers and Wholesalers,US,"$5,587,938.54 ","53,745",SYY
Performance Food Group Co.,0.02%,Food Retailers and Wholesalers,US,"$1,399,079.59 ","16,472",PFGC
Albertsons Cos. Inc.,0.01%,Food Retailers and Wholesalers,US,"$399,274.55 ","14,100",27S.BE
Grocery Outlet Holding Corp.,0.01%,Food Retailers and Wholesalers,US,"$375,489.33 ","9,306",GO
Ingles Markets Inc.,0.00%,Food Retailers and Wholesalers,US,"$187,649.46 ","1,505",IMKTA
Natural Grocers by Vitamin Cottage Inc.,0.00%,Food Retailers and Wholesalers,US,"$21,138.51 ","1,446",NGVC
Weis Markets Inc.,0.00%,Food Retailers and Wholesalers,US,"$193,507.64 ","1,731",WMK
NIKE Inc.,0.38%,Footwear,US,"$22,632,880.70 ","131,827",NKE
Deckers Outdoor Corp.,0.03%,Footwear,US,"$1,815,835.46 ","2,796",DECK
Crocs Inc.,0.02%,Footwear,US,"$1,039,507.90 ","6,204",CROX
Skechers USA Inc.,0.02%,Footwear,US,"$1,028,749.88 ","14,275",0L73.L
Allbirds Inc.,0.00%,Footwear,US,"$18,219.98 ","10,758",BIRD
Weyco Group Inc.,0.00%,Footwear,US,"$26,010.39 ",707,WEYS
Wolverine World Wide Inc.,0.00%,Footwear,US,"$185,727.95 ","8,189",WWW
Boise Cascade Co.,0.01%,Forestry,US,"$386,459.35 ","4,176",BCC
UFP Industries Inc.,0.01%,Forestry,US,"$661,369.17 ","6,217",UFPI
ARC Document Solutions Inc.,0.00%,Forms and Bulk Printing Services,US,"$18,785.36 ","4,561",ARC
Cimpress plc,0.00%,Forms and Bulk Printing Services,IE,"$116,143.05 ","1,650",CMPR
Ennis Inc.,0.00%,Forms and Bulk Printing Services,US,"$70,790.09 ","2,689",EBF
Quad/Graphics Inc.,0.00%,Forms and Bulk Printing Services,US,"$17,790.50 ","3,762",QUAD
Bunge Ltd.,0.03%,Fruit and Grain Processing,BM,"$2,009,979.41 ","15,850",BU3.F
Ingredion Inc.,0.02%,Fruit and Grain Processing,US,"$953,258.06 ","6,627",INGR
S&W Seed Co.,0.00%,Fruit and Grain Processing,US,"$3,509.81 ","1,905",SANW
American International Group Inc.,0.10%,Full Line Insurance,US,"$5,613,249.95 ","78,112",AIG
Arch Capital Group Ltd.,0.06%,Full Line Insurance,BM,"$3,788,585.82 ","37,249",ACGL
Hartford Financial Services Group Inc.,0.05%,Full Line Insurance,US,"$3,210,982.02 ","33,385",HIG
BRP Group Inc.,0.00%,Full Line Insurance,US,"$220,346.03 ","6,456",BRP
Carriage Services Inc.,0.00%,Funeral Parlors and Cemetery,US,"$53,319.72 ","1,371",CSV
Atmos Energy Corp.,0.04%,Gas Distribution,US,"$2,349,251.40 ","15,191",ATO
UGI Corp.,0.02%,Gas Distribution,US,"$1,017,623.88 ","22,169",UGI
Black Hills Corp.,0.01%,Gas Distribution,US,"$617,464.90 ","6,980",BKH
National Fuel Gas Co.,0.01%,Gas Distribution,US,"$736,888.95 ","9,730",NFG
Excelerate Energy Inc.,0.00%,Gas Distribution,US,"$63,088.60 ","2,166",EE
MP Materials Corp.,0.01%,General Mining,US,"$330,965.87 ","11,273",MP
5E Advanced Materials Inc.,0.00%,General Mining,US,"$18,872.99 ","3,301",FEAM
Compass Minerals International Inc.,0.00%,General Mining,US,"$195,420.71 ","4,407",CMP
Piedmont Lithium Inc.,0.00%,General Mining,US,"$139,717.55 ","1,793",PLL
United States Antimony Corp.,0.00%,General Mining,US,"$4,163.38 ","8,605",UAMY
Apogee Enterprises Inc.,0.00%,Glass,US,"$131,919.01 ","2,288",APOG
Newmont Corp.,0.09%,Gold Mining,US,"$5,400,272.82 ","84,090",NEM
Royal Gold Inc.,0.02%,Gold Mining,US,"$1,247,857.03 ","6,954",RGLD
Coeur Mining Inc.,0.00%,Gold Mining,US,"$136,657.45 ","29,666",CDE
US Gold Corp.,0.00%,Gold Mining,US,"$3,466.72 ",594,0LHW.L
Encompass Health Corp.,0.02%,Health Care Facilities,US,"$917,971.51 ","10,562",EHC
Universal Health Services Inc.,0.02%,Health Care Facilities,US,"$1,314,177.08 ","6,451",UHS
DaVita Inc.,0.01%,Health Care Facilities,US,"$648,135.06 ","5,294",DVA
Select Medical Holdings Corp.,0.01%,Health Care Facilities,US,"$445,586.28 ","10,783",SEM
Surgery Partners Inc.,0.01%,Health Care Facilities,US,"$395,513.72 ","7,361",SGRY
Brookdale Senior Living Inc.,0.00%,Health Care Facilities,US,"$111,029.35 ","19,102",BKD
National HealthCare Corp.,0.00%,Health Care Facilities,US,"$115,493.57 ","1,472",NHC
Oncology Institute Inc.,0.00%,Health Care Facilities,US,"$2,998.90 ","4,340",TOI
UnitedHealth Group Inc.,1.12%,Health Care Management Services,US,"$65,970,960.68 ","98,950",UNH
Elevance Health Inc.,0.27%,Health Care Management Services,US,"$15,968,365.52 ","25,149",ELV
Humana Inc.,0.16%,Health Care Management Services,US,"$9,512,255.72 ","13,235",HUM
Centene Corp.,0.09%,Health Care Management Services,US,"$5,447,306.03 ","58,329",CNC
Option Care Health Inc.,0.01%,Health Care Management Services,US,"$746,158.41 ","17,130",OPCH
Bright Health Group Inc.,0.00%,Health Care Management Services,US,"$5,109.78 ","23,469",BHG
Clover Health Investments Corp.,0.00%,Health Care Management Services,US,"$35,062.36 ","35,038",CLOV
National Research Corp.,0.00%,Health Care Management Services,US,"$109,751.29 ","1,861",NRC
Welltower Inc.,0.09%,Health Care REITs,US,"$5,581,251.58 ","52,000",WELL
Healthcare Realty Trust Inc.,0.02%,Health Care REITs,US,"$1,079,531.49 ","40,283",HR
Medical Properties Trust Inc.,0.01%,Health Care REITs,US,"$754,350.11 ","63,487",MPW
Physicians Realty Trust,0.01%,Health Care REITs,US,"$485,306.48 ","24,840",DOC
Sabra Health Care REIT Inc.,0.01%,Health Care REITs,US,"$380,393.03 ","24,628",SBRA
CareTrust REIT Inc.,0.00%,Health Care REITs,US,"$282,696.00 ","10,706",CTRE
Diversified Healthcare Trust,0.00%,Health Care REITs,US,"$31,057.09 ","25,096",DHC
Global Medical REIT Inc.,0.00%,Health Care REITs,US,"$78,958.34 ","6,280",GMRE
Universal Health Realty Income Trust,0.00%,Health Care REITs,US,"$82,233.94 ","1,395",UHT
IQVIA Holdings Inc.,0.09%,Health Care Services,US,"$5,016,887.40 ","19,672",IQV
Veeva Systems Inc.,0.06%,Health Care Services,US,"$3,620,055.08 ","14,920",VEEV
Chemed Corp.,0.02%,Health Care Services,US,"$1,177,495.28 ","1,577",CHE
agilon health Inc.,0.01%,Health Care Services,US,"$717,925.28 ","21,833",AGL
Doximity Inc.,0.01%,Health Care Services,US,"$564,608.52 ","11,340",DOCS
Omnicell Inc.,0.01%,Health Care Services,US,"$391,433.74 ","4,754",OMCL
Accolade Inc.,0.00%,Health Care Services,US,"$132,159.49 ","7,210",ACCD
Akumin Inc.,0.00%,Health Care Services,US,"$8,316.19 ","9,852",AKU
Augmedix Inc.,0.00%,Health Care Services,US,"$5,784.03 ","1,418",AUGX
Aveanna Healthcare Holdings Inc.,0.00%,Health Care Services,US,"$7,906.31 ","4,744",AVAH
Computer Programs and Systems Inc.,0.00%,Health Care Services,US,"$48,727.76 ","1,390",CPSI
Cryo-Cell International Inc.,0.00%,Health Care Services,US,"$2,084.81 ",246,CCEL
DocGo Inc.,0.00%,Health Care Services,US,"$99,591.74 ","8,648",DCGO
Healthcare Services Group Inc.,0.00%,Health Care Services,US,"$167,760.78 ","7,932",HCSG
Hims & Hers Health Inc.,0.00%,Health Care Services,US,"$198,369.62 ","12,633",HIMS
iSpecimen Inc.,0.00%,Health Care Services,US,$914.28 ,433,ISPC
Marpai Inc.,0.00%,Health Care Services,US,$883.70 ,999,MRAI
ModivCare Inc.,0.00%,Health Care Services,US,"$116,304.17 ","1,350",MODV
NantHealth Inc.,0.00%,Health Care Services,US,$368.83 ,203,NH
NextGen Healthcare Inc.,0.00%,Health Care Services,US,"$124,940.28 ","5,509",NXGN
OptimizeRx Corp.,0.00%,Health Care Services,US,"$32,444.58 ","1,593",OPRX
Pediatrix Medical Group Inc.,0.00%,Health Care Services,US,"$164,177.81 ","8,456",MD
Pennant Group Inc.,0.00%,Health Care Services,US,"$53,846.93 ","2,865",PNTG
RadNet Inc.,0.00%,Health Care Services,US,"$191,889.62 ","5,120",RDNT
Science 37 Holdings Inc.,0.00%,Health Care Services,US,"$3,119.74 ","8,111",SNCE
Sharecare Inc.,0.00%,Health Care Services,US,"$63,093.93 ","30,240",SHCR
AirSculpt Technologies Inc.,0.00%,Health Care: Misc.,US,"$7,721.14 ","1,163",AIRS
Biote Corp.,0.00%,Health Care: Misc.,US,$75.56 ,9,PDSB
Lennar Corp.,0.06%,Home Construction,US,"$3,820,051.90 ","24,994",LEN
Lennar Corp.,0.06%,Home Construction,US,"$3,820,051.90 ","24,994",LEN
PulteGroup Inc.,0.04%,Home Construction,US,"$2,174,036.52 ","23,896",PHM
Cavco Industries Inc.,0.01%,Home Construction,US,"$360,021.10 ",885,CVCO
Lennar Corp.,0.01%,Home Construction,US,"$492,551.66 ","3,716",LEN
Lennar Corp.,0.01%,Home Construction,US,"$492,551.66 ","3,716",LEN
LGI Homes Inc.,0.01%,Home Construction,US,"$334,862.81 ","2,080",LGIH
MDC Holdings Inc.,0.01%,Home Construction,US,"$344,828.43 ","6,212",0JW5.L
Meritage Homes Corp.,0.01%,Home Construction,US,"$635,133.60 ","3,661",MTH
Skyline Champion Corp.,0.01%,Home Construction,US,"$573,495.06 ","5,707",SKY
Taylor Morrison Home Corp.,0.01%,Home Construction,US,"$631,695.89 ","10,820",TMHC
Tri Pointe Homes Inc.,0.01%,Home Construction,US,"$413,432.82 ","10,640",TPH
Century Communities Inc.,0.00%,Home Construction,US,"$272,993.47 ","2,992",CCS
Dream Finders Homes Inc.,0.00%,Home Construction,US,"$38,973.37 ","1,886",DFH
Green Brick Partners Inc.,0.00%,Home Construction,US,"$133,190.55 ","2,638",GRBK
Hovnanian Enterprises Inc.,0.00%,Home Construction,US,"$43,666.33 ",437,HOV
Landsea Homes Corp.,0.00%,Home Construction,US,"$11,816.00 ","1,321",LSEA
Floor & Decor Holdings Inc.,0.02%,Home Improvement Retailers,US,"$1,436,919.37 ","10,676",FND
LL Flooring Holdings Inc.,0.00%,Home Improvement Retailers,US,"$17,324.73 ","3,887",LL
Polished.com Inc.,0.00%,Home Improvement Retailers,US,"$7,835.07 ","12,555",POL
VICI Properties Inc.,0.07%,Hotel and Lodging REITs,US,"$4,140,297.67 ","90,039",VICI
Host Hotels & Resorts Inc.,0.03%,Hotel and Lodging REITs,US,"$1,653,241.06 ","75,463",HST
Ryman Hospitality Properties Inc.,0.01%,Hotel and Lodging REITs,US,"$673,682.34 ","5,546",RHP
Hersha Hospitality Trust,0.00%,Hotel and Lodging REITs,US,"$32,288.78 ","3,783",HT
Pebblebrook Hotel Trust,0.00%,Hotel and Lodging REITs,US,"$255,387.14 ","13,247",PEB
Service Properties Trust,0.00%,Hotel and Lodging REITs,US,"$208,737.89 ","17,568",SVC
Summit Hotel Properties Inc.,0.00%,Hotel and Lodging REITs,US,"$95,436.27 ","10,938",INN
Hilton Worldwide Holdings Inc.,0.09%,Hotels and Motels,US,"$5,505,714.74 ","28,216",HLT
Vail Resorts Inc.,0.02%,Hotels and Motels,US,"$1,392,163.62 ","4,272",MTN
Hilton Grand Vacations Inc.,0.01%,Hotels and Motels,US,"$528,512.59 ","9,114",HGV
Hyatt Hotels Corp.,0.01%,Hotels and Motels,US,"$733,609.20 ","4,737",H
Marriott Vacations Worldwide Corp.,0.01%,Hotels and Motels,US,"$646,325.55 ","3,545",VAC
Travel + Leisure Co.,0.01%,Hotels and Motels,US,"$403,136.11 ","7,775",TNL
Bluegreen Vacations Holding Corp.,0.00%,Hotels and Motels,US,"$48,505.43 ","1,244",BVH
Sonder Holdings Inc.,0.00%,Hotels and Motels,US,"$10,596.11 ","19,071",SOND
Whirlpool Corp.,0.02%,Household Appliance,US,"$1,089,796.71 ","5,762",WHR
Aterian Inc.,0.00%,Household Appliance,US,"$7,771.11 ","7,249",ATER
Hamilton Beach Brands Holding Co.,0.00%,Household Appliance,US,"$12,330.52 ",909,HBB
Helen of Troy Ltd.,0.01%,Household Equipment and Products,BM,"$346,413.26 ","2,548",HT2.F
Newell Brands Inc.,0.01%,Household Equipment and Products,US,"$648,912.63 ","39,420",NWL
Central Garden & Pet Co.,0.00%,Household Equipment and Products,US,"$160,130.36 ","3,345",CENTA
Central Garden & Pet Co.,0.00%,Household Equipment and Products,US,"$160,130.36 ","3,345",CENTA
Central Garden & Pet Co.,0.00%,Household Equipment and Products,US,"$82,044.97 ","1,644",CENTA
Central Garden & Pet Co.,0.00%,Household Equipment and Products,US,"$82,044.97 ","1,644",CENTA
CompX International Inc.,0.00%,Household Equipment and Products,US,"$5,349.82 ",218,CIX
Crown Crafts Inc.,0.00%,Household Equipment and Products,US,"$8,219.52 ","1,099",CRWS
Lifetime Brands Inc.,0.00%,Household Equipment and Products,US,"$9,091.42 ","1,369",LCUT
NL Industries Inc.,0.00%,Household Equipment and Products,US,"$4,407.32 ",506,NL
Owlet Inc.,0.00%,Household Equipment and Products,US,"$3,149.75 ","7,420",OWLT
Tupperware Brands Corp.,0.00%,Household Equipment and Products,US,"$7,716.49 ","4,556",TUP
Leggett & Platt Inc.,0.01%,Household Furnishings,US,"$582,189.32 ","13,300",LEG
Bassett Furniture Industries Inc.,0.00%,Household Furnishings,US,"$22,150.77 ","1,139",BSET
Dixie Group Inc.,0.00%,Household Furnishings,US,"$1,213.32 ","1,227",DXYN
Ethan Allen Interiors Inc.,0.00%,Household Furnishings,US,"$91,003.42 ","2,405",ETD
HNI Corp.,0.00%,Household Furnishings,US,"$152,913.74 ","4,344",HNI
Hooker Furnishings Corp.,0.00%,Household Furnishings,US,"$22,253.65 ","1,039",HOFT
Interface Inc.,0.00%,Household Furnishings,US,"$63,182.18 ","5,948",TILE
La-Z-Boy Inc.,0.00%,Household Furnishings,US,"$175,249.62 ","4,502",LZB
MillerKnoll Inc.,0.00%,Household Furnishings,US,"$185,095.33 ","8,032",MLKN
Sleep Number Corp.,0.00%,Household Furnishings,US,"$65,972.24 ","2,159",SNBR
Steelcase Inc.,0.00%,Household Furnishings,US,"$100,203.69 ","9,245",SCS
Americold Realty Trust Inc.,0.02%,Industrial REITs,US,"$1,144,796.74 ","28,556",COLD
STAG Industrial Inc.,0.01%,Industrial REITs,US,"$873,101.05 ","19,026",STAG
Terreno Realty Corp.,0.01%,Industrial REITs,US,"$722,573.45 ","8,659",TRNO
Industrial Logistics Properties Trust,0.00%,Industrial REITs,US,"$20,309.80 ","7,277",ILPT
Plymouth Industrial REIT Inc.,0.00%,Industrial REITs,US,"$127,360.09 ","4,644",PLYM
WW Grainger Inc.,0.08%,Industrial Suppliers,US,"$4,514,343.52 ","4,790",GWW.VI
Ferguson plc,0.07%,Industrial Suppliers,JE,"$4,195,920.77 ","21,992",FERG
Vontier Corp.,0.01%,Industrial Suppliers,US,"$604,866.86 ","16,456",VNT
Gates Industrial Corp. plc,0.00%,Industrial Suppliers,GB,"$192,024.36 ","10,522",GTES
Hillman Solutions Corp.,0.00%,Industrial Suppliers,US,"$190,056.05 ","16,700",HLMN
Shapeways Holdings Inc.,0.00%,Industrial Suppliers,US,$474.08 ,"1,207",SHPW
American Tower Corp.,0.23%,Infrastructure REITs,US,"$13,659,170.85 ","49,326",AMT
Crown Castle Inc.,0.13%,Infrastructure REITs,US,"$7,648,828.14 ","45,865",CCI
Hannon Armstrong Sustainable Infrastructure Capital Inc.,0.01%,Infrastructure REITs,US,"$372,325.03 ","9,683",HASI
Power REIT,0.00%,Infrastructure REITs,US,$899.31 ,248,PW
Uniti Group Inc.,0.00%,Infrastructure REITs,US,"$115,005.94 ","24,820",UNIT
Marsh & McLennan Cos. Inc.,0.22%,Insurance Brokers,US,"$12,788,839.42 ","52,385",MHM.L
Aon plc,0.15%,Insurance Brokers,IE,"$9,089,074.12 ","20,630",AON
Willis Towers Watson plc,0.06%,Insurance Brokers,IE,"$3,596,244.39 ","11,461",WTY.MU
Goosehead Insurance Inc.,0.00%,Insurance Brokers,US,"$170,208.01 ","2,185",GSHD
Morgan Stanley,0.28%,Investment Services,US,"$16,363,482.98 ","134,242",MS
CME Group Inc.,0.16%,Investment Services,US,"$9,590,438.20 ","38,104",CME
Intercontinental Exchange Inc.,0.15%,Investment Services,US,"$8,736,631.65 ","59,198",ICE
Cboe Global Markets Inc.,0.04%,Investment Services,US,"$2,120,155.16 ","11,202",CBOE
Raymond James Financial Inc.,0.04%,Investment Services,US,"$2,519,844.00 ","20,544",RJF
MarketAxess Holdings Inc.,0.03%,Investment Services,US,"$1,717,968.31 ","3,983",MKTX
Coinbase Global Inc.,0.02%,Investment Services,US,"$1,132,272.09 ","15,537",COIN
Interactive Brokers Group Inc.,0.02%,Investment Services,US,"$1,091,785.27 ","10,351",IBKR
Lazard Ltd.,0.01%,Investment Services,BM,"$481,489.43 ","11,354",LAZ
Bakkt Holdings Inc.,0.00%,Investment Services,US,"$11,254.02 ","6,153",BKKT
Cohen & Co. Inc.,0.00%,Investment Services,US,$13.37 ,2,COHN
StoneX Group Inc.,0.00%,Investment Services,US,"$247,312.14 ","1,861",SNEX
Virtu Financial Inc.,0.00%,Investment Services,US,"$271,814.22 ","10,006",VIRT
Nucor Corp.,0.09%,Iron and Steel,US,"$5,456,592.63 ","27,179",NUE
Reliance Steel & Aluminum Co.,0.04%,Iron and Steel,US,"$2,091,847.80 ","6,231",RS
Cleveland-Cliffs Inc.,0.02%,Iron and Steel,US,"$1,136,064.63 ","54,520",CLF
Commercial Metals Co.,0.01%,Iron and Steel,US,"$784,520.95 ","12,402",CMC
United States Steel Corp.,0.01%,Iron and Steel,US,"$668,781.41 ","21,574",X
Friedman Industries Inc.,0.00%,Iron and Steel,US,"$10,620.01 ",703,FRD
Northwest Pipe Co.,0.00%,Iron and Steel,US,"$36,102.30 ",968,NWPX
Olympic Steel Inc.,0.00%,Iron and Steel,US,"$61,389.66 ",973,ZEUS
Schnitzer Steel Industries Inc.,0.00%,Iron and Steel,US,"$102,148.88 ","2,610",SCHN
TimkenSteel Corp.,0.00%,Iron and Steel,US,"$100,457.47 ","4,429",TMST
Universal Stainless & Alloy Products Inc.,0.00%,Iron and Steel,US,"$10,106.31 ",788,USAP
MetLife Inc.,0.09%,Life Insurance,US,"$5,109,295.52 ","61,489",MET
Principal Financial Group Inc.,0.04%,Life Insurance,US,"$2,600,016.99 ","25,693",PFG
Globe Life Inc.,0.02%,Life Insurance,US,"$1,349,102.32 ","9,176",GL
Primerica Inc.,0.02%,Life Insurance,US,"$965,586.23 ","3,905",PRI
Unum Group,0.02%,Life Insurance,US,"$1,015,174.85 ","17,756",UNM
Brighthouse Financial Inc.,0.01%,Life Insurance,US,"$432,550.84 ","7,223",BHF
CNO Financial Group Inc.,0.01%,Life Insurance,US,"$350,960.78 ","11,544",CNO
Genworth Financial Inc.,0.01%,Life Insurance,US,"$412,402.04 ","52,391",GNW
Jackson Financial Inc.,0.01%,Life Insurance,US,"$429,933.32 ","8,812",JXN
Atlantic American Corp.,0.00%,Life Insurance,US,$364.88 ,123,AAME
Midwest Holding Inc.,0.00%,Life Insurance,US,"$3,429.38 ",185,MDWT
Signet Jewelers Ltd.,0.01%,Luxury Items,BM,"$459,612.14 ","4,610",SZ2.MU
Charles & Colvard Ltd.,0.00%,Luxury Items,US,"$2,705.26 ","2,080",CTHR
Fossil Group Inc.,0.00%,Luxury Items,US,"$24,070.60 ","5,288",FOSL
Movado Group Inc.,0.00%,Luxury Items,US,"$55,466.69 ","1,598",MOV
Deere & Co.,0.25%,Machinery: Agricultural,US,"$14,468,802.17 ","28,251",DE
AGCO Corp.,0.02%,Machinery: Agricultural,US,"$1,126,282.11 ","6,707",AGCO
Art's-Way Manufacturing Co. Inc.,0.00%,Machinery: Agricultural,US,$55.49 ,15,ARTW
Hydrofarm Holdings Group Inc.,0.00%,Machinery: Agricultural,US,"$6,890.47 ","3,239",HYFM
Lindsay Corp.,0.00%,Machinery: Agricultural,US,"$192,123.57 ","1,174",LNN
Titan International Inc.,0.00%,Machinery: Agricultural,US,"$68,818.14 ","5,204",TWI
Titan Machinery Inc.,0.00%,Machinery: Agricultural,US,"$92,752.16 ","2,184",TITN
Terex Corp.,0.01%,Machinery: Construction and Handling,US,"$408,329.35 ","6,759",TEX
Astec Industries Inc.,0.00%,Machinery: Construction and Handling,US,"$140,406.18 ","2,510",ASTE
Douglas Dynamics Inc.,0.00%,Machinery: Construction and Handling,US,"$90,890.31 ","2,289",PLOW
Hyster-Yale Materials Handling Inc.,0.00%,Machinery: Construction and Handling,US,"$65,551.94 ",919,HY
Cummins Inc.,0.08%,Machinery: Engines,US,"$4,766,797.87 ","14,969",CMI
Otis Worldwide Corp.,0.09%,Machinery: Industrial,US,"$5,080,730.15 ","43,963",OTIS
Ingersoll Rand Inc.,0.06%,Machinery: Industrial,US,"$3,310,528.55 ","42,853",IR
Nordson Corp.,0.03%,Machinery: Industrial,US,"$1,599,984.69 ","5,459",NDSN
Middleby Corp.,0.02%,Machinery: Industrial,US,"$1,091,845.94 ","5,720",MIDD
Franklin Electric Co. Inc.,0.01%,Machinery: Industrial,US,"$504,915.51 ","4,165",FELE
Kennametal Inc.,0.01%,Machinery: Industrial,US,"$297,633.26 ","8,462",KMT
